Algorithm,Local Noise,Comm Noise Mult,Strategy,CAT Error,tp Error
dj_indep_9q,0.01,1.2,global,0.039999999999999966,0.08166666666666665
dj_indep_9q,0.01,1.2,local,0.06999999999999997,0.08166666666666665
dj_indep_9q,0.01,1.2,no,0.053333333333333316,0.09499999999999999
dj_indep_9q,0.015,1.0,global,0.08333333333333333,0.09666666666666668
dj_indep_9q,0.015,1.0,local,0.0666666666666667,0.06499999999999996
dj_indep_9q,0.015,1.0,no,0.03500000000000001,0.056666666666666615
dj_indep_9q,0.015,1.1,global,0.11666666666666665,0.10999999999999999
dj_indep_9q,0.015,1.1,local,0.056666666666666636,0.040000000000000015
dj_indep_9q,0.015,1.1,no,0.12499999999999996,0.10666666666666665
dj_indep_9q,0.015,1.2,global,0.0666666666666667,0.0583333333333333
dj_indep_9q,0.015,1.2,local,0.07333333333333324,0.08499999999999996
dj_indep_9q,0.015,1.2,no,0.07999999999999999,0.06333333333333331
dj_indep_9q,0.02,1.0,global,0.056666666666666664,0.06833333333333332
dj_indep_9q,0.02,1.0,local,0.05333333333333331,0.048333333333333305
